Comment,Designator,Footprint,LCSC,Quantity
10uF,C12,R_1206_3216Metric,,1
10uF,C9,R_1206_3216Metric,,1
10k,R22,R_0603_1608Metric,,1
100,R16,R_0603_1608Metric,,1
Bus_M.2_Socket_B,J2,M.2_3042-xx-B,,1
220,R1,R_0603_1608Metric,,1
10uF,C4,C_0603_1608Metric,,1
ESP32-S3-WROOM-1,U7,ESP32-S3-WROOM-1U,,1
100,R4,R_0603_1608Metric,,1
100,R5,R_0603_1608Metric,,1
100,R8,R_0603_1608Metric,,1
220,R2,R_0603_1608Metric,,1
100,R3,R_0603_1608Metric,,1
100nF,C5,C_0603_1608Metric,,1
Conn_01x04_Pin,J1,1x04_SMD-2.54mm,,1
100nF,C1,C_0603_1608Metric,,1
10k,R19,R_0603_1608Metric,,1
10uF,C10,R_1206_3216Metric,,1
10k,R18,R_0603_1608Metric,,1
100nF,C7,C_0603_1608Metric,,1
100,R6,R_0603_1608Metric,,1
100,R7,R_0603_1608Metric,,1
UMH3N,Q1,SOT-363_SC-70-6,,1
CH340C,U4,SOIC-16_3.9x9.9mm_P1.27mm,,1
10k,R20,R_0603_1608Metric,,1
100,R17,R_0603_1608Metric,,1
100,R15,R_0603_1608Metric,,1
10k,R23,R_0603_1608Metric,,1
10k,R21,R_0603_1608Metric,,1
10uF,C8,R_1206_3216Metric,,1
10uF,C14,R_1206_3216Metric,,1
NRF24L01_Breakout,U2,NRF24L01,,1
10uF,C13,R_1206_3216Metric,,1
Jumper_2_Bridged,JP6,Jumper,,1
NRF24L01_Breakout,U3,NRF24L01,,1
LD1117S33TR_SOT223,U1,SOT-223-3_TabPin2,,1
Jumper_2_Bridged,JP4,Jumper,,1
Jumper_2_Bridged,JP5,Jumper,,1
Jumper_2_Bridged,JP2,Jumper,,1
10uF,C11,R_1206_3216Metric,,1
SS14,D1,D_SMA,,1
Jumper_2_Bridged,JP3,Jumper,,1
