Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,167.2,-62.0,180.0,top
C10,10uF,R_1206_3216Metric,174.9,-55.1,90.0,top
C11,10uF,R_1206_3216Metric,154.6,-67.8,270.0,bottom
C12,10uF,R_1206_3216Metric,175.2,-64.8,180.0,top
C13,10uF,R_1206_3216Metric,163.4,-66.975,180.0,bottom
C14,10uF,R_1206_3216Metric,175.9,-67.7875,270.0,bottom
C4,10uF,C_0603_1608Metric,170.3,-62.0,180.0,top
C5,100nF,C_0603_1608Metric,159.3,-59.525,90.0,top
C7,100nF,C_0603_1608Metric,176.6,-62.0,180.0,top
C8,10uF,R_1206_3216Metric,179.7,-55.1,90.0,top
C9,10uF,R_1206_3216Metric,177.3,-55.1,90.0,top
D1,SS14,D_SMA,178.85,-66.6,90.0,bottom
J1,Conn_01x04_Pin,1x04_SMD-2.54mm,180.3,-62.325,-90.0,top
J2,Bus_M.2_Socket_B,M.2_3042-xx-B,166.5,-49.7,180.0,top
JP2,Jumper_2_Bridged,Jumper,163.0,-54.5,270.0,bottom
JP3,Jumper_2_Bridged,Jumper,164.75,-54.5,270.0,bottom
JP4,Jumper_2_Bridged,Jumper,166.5,-54.5,270.0,bottom
JP5,Jumper_2_Bridged,Jumper,161.25,-54.49962,270.0,bottom
JP6,Jumper_2_Bridged,Jumper,167.064,-70.768,270.0,bottom
Q1,UMH3N,SOT-363_SC-70-6,172.4,-57.4,90.0,top
R1,220,R_0603_1608Metric,160.5,-62.0,180.0,top
R15,100,R_0603_1608Metric,176.8,-69.2,-90.0,top
R16,100,R_0603_1608Metric,175.2,-69.2,-90.0,top
R17,100,R_0603_1608Metric,178.4,-69.2,-90.0,top
R18,10k,R_0603_1608Metric,176.6,-58.5,180.0,top
R19,10k,R_0603_1608Metric,178.3,-64.5,-90.0,top
R2,220,R_0603_1608Metric,163.7,-62.0,0.0,top
R20,10k,R_0603_1608Metric,175.3,-75.2,90.0,top
R21,10k,R_0603_1608Metric,159.3,-56.475,-90.0,top
R22,10k,R_0603_1608Metric,176.6,-60.0,180.0,top
R23,10k,R_0603_1608Metric,173.6,-60.0,0.0,top
R3,100,R_0603_1608Metric,175.2,-79.9,90.0,top
R4,100,R_0603_1608Metric,173.6,-69.2,-90.0,top
R5,100,R_0603_1608Metric,176.7,-79.9,90.0,top
R6,100,R_0603_1608Metric,173.7,-75.2,-90.0,top
R7,100,R_0603_1608Metric,173.7,-79.9,-90.0,top
R8,100,R_0603_1608Metric,176.9,-75.2,-90.0,top
U1,LD1117S33TR_SOT223,SOT-223-3_TabPin2,170.1,-66.9625,180.0,bottom
U2,NRF24L01_Breakout,NRF24L01,157.745,-72.1,180.0,bottom
U3,NRF24L01_Breakout,NRF24L01,175.445,-72.0625,180.0,bottom
U4,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,165.625,-57.375,0.0,top
U7,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1U,161.89,-73.45,-90.0,top
